commuter,zone_1a,2.40,1.10,90.00,30.00,,,
commuter,zone_1,6.50,3.25,214.00,,,,
commuter,zone_2,7.00,3.50,232.00,,,,
commuter,zone_3,8.00,4.00,261.00,,,,
commuter,zone_4,8.75,4.25,281.00,,,,
commuter,zone_5,9.75,4.75,311.00,,,,
commuter,zone_6,10.50,5.25,340.00,,,,
commuter,zone_7,11.00,5.50,360.00,,,,
commuter,zone_8,12.25,6.00,388.00,,,,
commuter,zone_9,12.75,6.25,406.00,,,,
commuter,zone_10,13.25,6.50,426.00,,,,
commuter,interzone_1,2.75,1.25,90.00,,,,
commuter,interzone_2,3.25,1.50,110.00,,,,
commuter,interzone_3,3.50,1.75,120.00,,,,
commuter,interzone_4,4.25,2.00,139.00,,,,
commuter,interzone_5,4.75,2.25,158.00,,,,
commuter,interzone_6,5.25,2.50,178.00,,,,
commuter,interzone_7,5.75,2.75,196.00,,,,
commuter,interzone_8,6.25,3.00,216.00,,,,
commuter,interzone_9,6.75,3.25,237.00,,,,
commuter,interzone_10,7.25,3.50,257.00,,,,
foxboro,20.00,,,,,,,
subway,2.40,1.10,10.00,30.00,11.00,22.50,90.00,
local_bus,1.70,0.85,10.00,30.00,11.00,22.50,55.00,
express_bus,4.25,2.10,,30.00,11.00,22.50,136.00,
ferry,3.70,90.00,30.00,9.75,9.75,329.00,9.75,
the_ride,3.35,5.60,,,,,,
