Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
358943,1,One-time,,Bus,Stop Closure,64; N Beacon @ Market St,,information,2020-03-07T04:30,further notice,,,,,,2020-03-04T14:09:12.210,further notice,"Beginning March 7th, 2020, Route 64 will no longer operate on Life St or N Beacon St between Market St and Arthur St. Make connections at Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS)",,,,,False,,True,False,False,,,"Affected routes:
64
Affected Stops:
N Beacon St @ Market St (IB)
N Beacon St @ Etna St (IB)
N Beacon St @ Life St (OB)
N Beacon St @ Market St (OB)

Nearest Connections
Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS) 
Guest St @ Life St or N Beacon St @ Saunders St
Guest St @ Life St or Market St @ Vineland St
Market St @ Vinleand St or 239 N Beacon St",christopher.delano,2020-03-04T14:09:52.383,False,,current,,False,True,,
358943,2,One-time,,Bus,Stop Closure,64; N Beacon @ Market St,,information,2020-03-07T04:30,further notice,,,,,,2020-03-04T14:09:12.210,further notice,"Beginning March 7th, 2020, Route 64 will no longer operate on Life St or N Beacon St between Market St and Arthur St. Make connections at Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS)",,,,,False,,False,False,False,,,"Affected routes:
64

Affected Stops:
N Beacon St @ Market St (IB)
N Beacon St @ Etna St (IB)
N Beacon St @ Life St (OB)
N Beacon St @ Market St (OB)

Nearest Connections:
Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS) 
Guest St @ Life St or N Beacon St @ Saunders St
Guest St @ Life St or Market St @ Vineland St
Market St @ Vinleand St or 239 N Beacon St",eryk.rotondo,2020-03-05T10:34:02.313,False,,current,,False,True,,
358943,3,One-time,,Bus,Stop Closure,64; N Beacon @ Market St,,information,2020-03-07T04:30,further notice,,,,,,2020-03-04T14:09:12.210,further notice,"Beginning March 7th, 2020, Route 64 will no longer operate on Life St or N Beacon St between Market St and Arthur St. Make connections at Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS)",,,,,False,,False,False,False,,,"Affected routes:
64

Affected Stops:
N Beacon St @ Market St (IB)
N Beacon St @ Etna St (IB)
N Beacon St @ Life St (OB)
N Beacon St @ Market St (OB)

Nearest Connections:
Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS) (IB) 
Guest St @ Life St or N Beacon St @ Saunders St (IB)
Guest St @ Life St or Market St @ Vineland St (OB)
Market St @ Vinleand St or 239 N Beacon St (OB)",nicholas.tomkavage,2020-03-05T15:31:22.997,False,,current,,False,True,,
358943,4,One-time,,Bus,Stop Closure,,,information,2020-03-07T04:30,2020-12-23T06:16:47.627,,,,,,2020-03-04T14:09:12.210,2020-12-23T06:16:47.627,"Beginning March 7th, 2020, Route 64 will no longer operate on Life St or N Beacon St between Market St and Arthur St. Make connections at Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS)",,,,,False,,False,False,False,,,"Affected routes:
64

Affected Stops:
N Beacon St @ Market St (IB)
N Beacon St @ Etna St (IB)
N Beacon St @ Life St (OB)
N Beacon St @ Market St (OB)

Nearest Connections:
Market St @ Guest St or N Beacon St @ Market St (on other side of intersection on N Beacon St between Gulf and CVS) (IB) 
Guest St @ Life St or N Beacon St @ Saunders St (IB)
Guest St @ Life St or Market St @ Vineland St (OB)
Market St @ Vinleand St or 239 N Beacon St (OB)",eryk.rotondo,2020-12-23T06:16:47.627,True,,past,,False,True,,
361021,1,One-time,,Bus,Stop Closure,87; Somerville Ave at McGrath Hwy,construction,up to 20 minutes,2020-04-02T11:45:15.855,later today,,,,,,2020-04-02T11:45:15.860,2020-04-03T02:30,"Until further notice, the Route 87 outbound stop at Somerville Ave at McGrath Hwy in front of Burger King will be closed due to ongoing utility work. The nearest connection is Somerville Ave @ Merriam St.",,,,,False,,True,False,False,,,"Affected routes:
87",eryk.rotondo,2020-04-02T11:46:21.547,False,,current,,False,True,,
361021,2,One-time,,Bus,Stop Closure,87; Somerville Ave at McGrath Hwy,construction,up to 20 minutes,2020-04-02T11:45:15.855,further notice,,,,,,2020-04-02T11:45:15.860,further notice,"Until further notice, the Route 87 outbound stop at Somerville Ave at McGrath Hwy in front of Burger King will be closed due to ongoing utility work. The nearest connection is Somerville Ave @ Merriam St.",,,,,False,,False,False,False,,,"Affected routes:
87",eryk.rotondo,2020-04-02T11:49:18.170,False,,current,,False,True,,
361021,3,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2020-04-02T11:45:15.855,2021-11-05T08:39:50.463,,,,,,2020-04-02T11:45:15.860,2021-11-05T08:39:50.463,"Until further notice, the Route 87 outbound stop at Somerville Ave at McGrath Hwy in front of Burger King will be closed due to ongoing utility work. The nearest connection is Somerville Ave @ Merriam St.",,,,,False,,False,False,False,,,"Affected routes:
87",eryk.rotondo,2021-11-05T08:39:50.463,True,,past,,False,True,,
371566,1,One-time,,Bus,Stop Closure,1; Massachusetts Ave @ Columbus Ave (outbound),construction,information,2020-09-11T10:45,further notice,,,,,,2020-09-11T10:47:52.510,further notice, Massachusetts Ave @ Columbus Ave is closed due to construction. Nearest connection: Massachusetts Ave @ Tremont St,,,,,False,,False,False,False,,,"Affected routes:
1",christopher.delano,2020-09-11T10:48:08.963,False,,current,,False,True,,
371566,2,One-time,,Bus,Stop Closure,,construction,information,2020-09-11T10:45,2020-12-29T10:47:55.613,,,,,,2020-09-11T10:47:52.510,2020-12-29T10:47:55.613, Massachusetts Ave @ Columbus Ave is closed due to construction. Nearest connection: Massachusetts Ave @ Tremont St,,,,,False,,False,False,False,,,"Affected routes:
1",eryk.rotondo,2020-12-29T10:47:55.613,True,,past,,False,True,,
375548,1,One-time,,Bus,Stop Closure,"426, 429, 435, 436, 455; Silsbee St @ Union St",,up to 20 minutes,2020-11-15T04:30,further notice,,,,,,2020-11-03T09:12:38.057,further notice,Beginning on Nov 15 the stop at Silsbee St @ Union St will be permanently closed.,,,,,False,,True,False,False,,,"Inbound service for Routes 436 and 455 can be found on Buffum St at 4 Freeman Sq.

Affected routes:
426
429
435
436
455",eryk.rotondo,2020-11-03T09:12:44.343,False,,current,,False,True,,
375548,2,One-time,,Bus,Stop Closure,,,up to 20 minutes,2020-11-15T04:30,2020-12-01T16:32:15.457,,,,,,2020-11-03T09:12:38.057,2020-12-01T16:32:15.457,Beginning on Nov 15 the stop at Silsbee St @ Union St will be permanently closed.,,,,,False,,False,False,False,,,"Inbound service for Routes 436 and 455 can be found on Buffum St at 4 Freeman Sq.

Affected routes:
426
429
435
436
455",christopher.delano,2020-12-01T16:32:15.457,True,,past,,False,True,,
