atisId,ektronId,stopName,lat,long,lineName,line,transportMode,stopID,
"15415,56759",686,Wonderland,42.413963,-70.990986,Blue Line,BLUE,subway,place-wondl,
"11913,10179",32,Revere Beach,42.408389,-70.99256,Blue Line,BLUE,subway,place-rbmnl,
"14474,14487",704,Beachmont,42.39745,-70.992363,Blue Line,BLUE,subway,place-bmmnl,
"10077,13698",34,Suffolk Downs,42.390232,-70.997678,Blue Line,BLUE,subway,place-sdmnl,
"13119,15416,13697,26244",682,Orient Heights,42.386769,-71.004941,Blue Line,BLUE,subway,place-orhte,
"10018,10017,15418",688,Wood Island,42.379759,-71.022476,Blue Line,BLUE,subway,place-wimnl,
"15417,13118,10016,24699",798,Airport,42.374542,-71.029485,Blue Line,"BLUE,SL3",subway,place-aport,
"13699,10076,13116,13117",678,Maverick,42.368343,-71.038422,Blue Line,BLUE,subway,place-mvbcl,
"14486,14473",36,Aquarium,42.359634,-71.051807,Blue Line,BLUE,subway,place-aqucl,
"14037,15580,15581,15669",738,Government Center,42.359868,-71.059195,"Blue Line,Boston College (B),Cleveland Circle (C),Riverside (D),Heath St. (E)","BLUE,GREEN-B,GREEN-C,GREEN-D,GREEN-E",subway,place-gover,
10409,676,Bowdoin,42.361457,-71.062129,Blue Line,BLUE,subway,place-bomnl,
"163,25990",498,Providence Station,41.829641,-71.413332,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-1851,
"26662,25989,26758",20686,TF Green Airport,41.829641,-71.413332,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-1768,
"193,26635",504,South Attleboro Station,41.897943,-71.354621,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-1919,
"9,25185,26634",40,Attleboro Station,41.942097,-71.284897,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-1969,
"112,25186,26633",46,Mansfield Station,42.032734,-71.219318,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-2040,
"187,25187,26632",502,Sharon Station,42.124804,-71.183213,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-2108,
"203,26631",506,Stoughton Station,42.123818,-71.10309,Providence/Stoughton Line,PROVSTOU,rail,place-SB-0189,
"36,26630",42,Canton Center Station,42.156769,-71.14553,Providence/Stoughton Line,PROVSTOU,rail,place-SB-0156,
"37,25188,26741,26629",44,Canton Junction Station,42.163423,-71.153374,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-2139,
"178,25189,26742,26628",500,Route 128 Station,42.209884,-71.1471,Providence/Stoughton Line,PROVSTOU,rail,place-NEC-2173,
"91,25190,26612",474,Hyde Park Station,42.255123,-71.125022,"Providence/Stoughton Line,Franklin Line","PROVSTOU,FRANKLIN",rail,place-NEC-2203,
"182,26553",554,Ruggles Station,42.335545,-71.090524,"Providence/Stoughton Line,Franklin Line,Needham Line","FRANKLIN,PROVSTOU,NEEDHAM,ORANGE","rail,subway",place-rugg,
"13,26824",642,Back Bay Station,42.347314,-71.075724,"Franklin Line,Framingham/Worcester Line,Providence/Stoughton Line,Needham Line,Orange Line","FRANKLIN,WORCSTER,PROVSTOU,NEEDHAM,ORANGE","rail,subway",place-bbsta,
"170,26699,26610,26611",476,Readville Station,42.23775,-71.132376,"Fairmount Line,Franklin Line","FAIRMNT,FRANKLIN",rail,place-DB-0095,
"62,24361,26685,26570",508,Fairmount Station,42.253638,-71.11927,Fairmount Line,FAIRMNT,rail,place-DB-2205,
"126,24362,26686,26568",510,Morton Street Station,42.280994,-71.085475,Fairmount Line,FAIRMNT,rail,place-DB-2230,
"208,24363,26687,26569",512,Uphams Corner Station,42.31867,-71.069072,Fairmount Line,FAIRMNT,rail,place-DB-2258,
"26767,26766",25906,Talbot Ave Station,42.291739,-71.077191,Fairmount Line,FAIRMNT,rail,place-DB-2240,
"65,26583",524,Fitchburg Station,42.586055,-71.811115,Fitchburg Line,FITCHBRG,rail,place-FR-0494,
26822,6442456808,Wachusett Station,42.552001,-71.847039,Fitchburg Line,FITCHBRG,rail,place-FR-3338,
"129,26582",534,North Leominster Station,42.540577,-71.739402,Fitchburg Line,FITCHBRG,rail,place-FR-0451,
"189,24472,26688,26581",538,Shirley Station,42.544726,-71.648363,Fitchburg Line,FITCHBRG,rail,place-FR-0394,
"12,24473,26694,26580",516,Ayer Station,42.560047,-71.590117,Fitchburg Line,FITCHBRG,rail,place-FR-0361,
"105,24480,26697,26579",532,Littleton Station,42.519236,-71.502643,Fitchburg Line,FITCHBRG,rail,place-FR-0301,
"192,26578",442,South Acton Station,42.461575,-71.455322,Fitchburg Line,FITCHBRG,rail,place-FR-0253,
"222,24479,26689,26577",448,West Concord Station,42.456372,-71.392371,Fitchburg Line,FITCHBRG,rail,place-FR-0494,
"52,24478,26698,26576",522,Concord Station,42.457147,-71.358051,Fitchburg Line,FITCHBRG,rail,place-FR-0201,
"104,24474,26695,26575",530,Lincoln Station,42.414229,-71.325344,Fitchburg Line,FITCHBRG,rail,place-FR-0167,
"190,26574",540,Silver Hill Station,42.395625,-71.302357,Fitchburg Line,FITCHBRG,rail,place-FR-0147,
"82,24471,26696,26573",526,Hastings Station,42.385755,-71.289203,Fitchburg Line,FITCHBRG,rail,place-FR-0137,
"97,24475,26690,26572",528,Kendal Green Station,42.37897,-71.282411,Fitchburg Line,FITCHBRG,rail,place-FR-0132,
"27,24481,26691,26571",520,Brandeis/Roberts Station,42.361728,-71.260854,Fitchburg Line,FITCHBRG,rail,place-FR-0115,
"213,26550",444,Waltham Station,42.374424,-71.236595,Fitchburg Line,FITCHBRG,rail,place-FR-0098,
"215,24476,26692,26549",446,Waverley Station,42.387489,-71.189864,Fitchburg Line,FITCHBRG,rail,place-FR-0074,
"18,24477,26693,26548",518,Belmont Station,42.39842,-71.174499,Fitchburg Line,FITCHBRG,rail,place-FR-0064,
"161,26547",536,Porter Square Station,42.388353,-71.119159,"Fitchburg Line,Red Line","FITCHBRG,RED","rail,subway",place-portr,
"141,26842",450,North Station,42.365551,-71.061251,"Fitchburg Line,Newburyport/Rockport Line,Lowell Line,Haverhill/Reading Line,Green Line,Orange Line","NBRYROCK,LOWELL,HAVRHILL,FITCHBRG,ORANGE,GREEN-C,GREEN-D,GREEN-E","rail,subway",place-north,
"237,26677",638,Worcester/Union Station,42.261539,-71.794724,Framingham/Worcester Line,WORCSTER,rail,place-WML-0442,
"74,25735,26743,26676",618,Grafton Station,42.246291,-71.684614,Framingham/Worcester Line,WORCSTER,rail,place-WML-0364,
"16087,25736,26744,26675",636,Westborough Station,42.269184,-71.652005,Framingham/Worcester Line,WORCSTER,rail,place-WML-0340,
"24151,26745,25737",624,Southborough Station,42.267518,-71.523621,Framingham/Worcester Line,WORCSTER,rail,place-WML-0274,
"24437,26746,25738,26673",612,Ashland Station,42.261694,-71.478813,Framingham/Worcester Line,WORCSTER,rail,place-WML-0252,
"68,25739,26747,26672",616,Framingham Station,42.276719,-71.416792,Framingham/Worcester Line,WORCSTER,rail,place-WML-0214,
"225,25542,26748,26671",632,West Natick Station,42.281855,-71.390548,Framingham/Worcester Line,WORCSTER,rail,place-WML-0199,
"131,25184,26749,26670",620,Natick Station,42.285239,-71.347641,Framingham/Worcester Line,WORCSTER,rail,place-WML-0177,
"219,26750,25543,26669",630,Wellesley Square Station,42.296427,-71.294311,Framingham/Worcester Line,WORCSTER,rail,place-WML-0147,
"218,25183,26751,26668",628,Wellesley Hills Station,42.310027,-71.276769,Framingham/Worcester Line,WORCSTER,rail,place-WML-0135,
"217,25182,26752,26667",626,Wellesley Farms Station,42.323608,-71.272288,Framingham/Worcester Line,WORCSTER,rail,place-WML-0125,
"10,25181,26753,26666",614,Auburndale Station,42.346087,-71.246658,Framingham/Worcester Line,WORCSTER,rail,place-WML-0102,
"226,25544,26754,26665",634,West Newton Station,42.348599,-71.22901,Framingham/Worcester Line,WORCSTER,rail,place-WML-0091,
"139,25180,26755,26664",622,Newtonville Station,42.351603,-71.207338,Framingham/Worcester Line,WORCSTER,rail,place-WML-0081,
"26830,26831",6442457999,Boston Landing Station,42.357237,-71.139903,Framingham/Worcester Line,WORCSTER,rail,place-WML-0035,
"239,26765,26663",640,Yawkey Station,42.346796,-71.098937,Framingham/Worcester Line,WORCSTER,rail,place-WML-0025,
"67,26609",456,Forge Park Station,42.090704,-71.430342,Franklin Line,FRANKLIN,rail,place-FB-0303,
"69,26608",458,Franklin Station,42.083591,-71.396735,Franklin Line,FRANKLIN,rail,place-FB-0275,
"140,25991,26700,26607",462,Norfolk Station,42.120694,-71.325217,Franklin Line,FRANKLIN,rail,place-FB-0230,
"212,26606",470,Walpole Station,42.144192,-71.259016,Franklin Line,FRANKLIN,rail,place-FB-0191,
"158,26605",468,Plimptonville Station,42.159123,-71.236125,Franklin Line,FRANKLIN,rail,place-FB-0177,
"232,25992,26701,26604",472,Windsor Gardens Station,42.172192,-71.220704,Franklin Line,FRANKLIN,rail,place-FB-0166,
