Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
388839,1,One-time,,Bus,Stop Closure,70; 500 Arsenal St - Watertown + Arsenal Mall,construction,up to 20 minutes,2021-05-12T10:11:58.073,further notice,,,,,,2021-05-12T10:11:58.077,further notice,The stop at 500 Arsenal St - Watertown + Arsenal Mall is closed until further notice due to construction. Customers can use the stop at Arsenal St opp Elm St.,,,,,False,,True,False,False,,,"Affected routes:
70",eryk.rotondo,2021-05-12T10:12:08.090,False,,current,,False,True,,
388839,2,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2021-05-12T10:11:58.073,2022-07-05T10:30:49.693,,,,,,2021-05-12T10:11:58.077,2022-07-05T10:30:49.693,The stop at 500 Arsenal St - Watertown + Arsenal Mall is closed until further notice due to construction. Customers can use the stop at Arsenal St opp Elm St.,,,,,False,,False,False,False,,,"Affected routes:
70",eryk.rotondo,2022-07-05T10:30:49.693,True,,past,,False,True,,
423062,1,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave will be closed for construction from Mon, Jan 3 to Fri, Jul 19.",,,,,False,,True,False,False,,,"Affected routes:
87",eryk.rotondo,2021-12-20T13:26:19.673,False,,current,,False,True,,
423062,2,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",eryk.rotondo,2022-01-24T08:33:40.853,False,,current,,False,True,,
423062,3,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",autotimeframeupdate,2022-04-02T04:30:17.250,False,,current,,False,True,,
423062,4,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",autotimeframeupdate,2022-06-25T04:30:15.903,False,,current,,False,True,,
423062,5,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",autotimeframeupdate,2022-06-30T04:30:16.123,False,,current,,False,True,,
423062,6,One-time,,Bus,Stop Closure,87; Broadway @ Massachusetts Ave,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",autotimeframeupdate,2022-07-01T04:30:16.623,False,,current,,False,True,,
423062,7,One-time,,Bus,Stop Closure,,construction,up to 20 minutes,2022-01-03T04:30,2022-07-02T02:30,,,,,,2021-12-20T13:26:17.977,2022-07-02T02:30,"The stop at Broadway @ Massachusetts Ave is closed for construction through Fri, Jul 1.",,,,,False,,False,False,False,,,"Affected routes:
87",expiry,2022-07-02T02:30:24.480,True,,past,,False,True,,
441822,1,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St (inbound)",,information,2022-06-19T04:30,further notice,,,,,,2022-05-02T17:31:12.103,further notice,"Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) will be permanently closed, effective June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.",,,,,False,,True,False,False,,,"Affected routes:
86
91",nicholas.tomkavage,2022-05-02T17:31:13.383,False,,current,,False,True,,
441822,2,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:31:12.103,2022-08-20T02:30,"Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) will be permanently closed, effective June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
86
91",eryk.rotondo,2022-05-16T05:19:05.100,False,,current,,False,True,,
441822,3,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:31:12.103,2022-08-20T02:30,"Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) will be permanently closed, effective June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
86
91",autotimeframeupdate,2022-06-13T04:30:16.610,False,,current,,False,True,,
441822,4,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:31:12.103,2022-08-20T02:30,"Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) will be permanently closed, effective June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
86
91",autotimeframeupdate,2022-06-18T04:30:17.547,False,,current,,False,True,,
441822,5,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:31:12.103,2022-08-20T02:30,"Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) will be permanently closed, effective June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
86
91",autotimeframeupdate,2022-06-19T04:00:16.210,False,,current,,False,True,,
441822,6,One-time,,Bus,Stop Closure,"86, 91; Cambridge St @ Parker St",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:31:12.103,2022-08-20T02:30,Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) closed permanently on June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.,,,,,False,,False,False,False,,,"Affected routes:
86
91",eryk.rotondo,2022-06-26T07:18:39.380,False,,current,,False,True,,
441822,7,One-time,,Bus,Stop Closure,,,information,2022-06-19T04:30,2022-06-28T14:24:16.630,,,,,,2022-05-02T17:31:12.103,2022-06-28T14:24:16.630,Route 89 & 91 Stop Closure: Cambridge St @ Parker St (inbound) closed permanently on June 19. Riders may use Cambridge St @ Brighton St or Washington St @ Mt Vernon St as alternatives.,,,,,False,,False,False,False,,,"Affected routes:
86
91",nicholas.tomkavage,2022-06-28T14:24:16.630,True,,past,,False,True,,
441823,1,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd (outbound), Springs Rd @ Pine Hill Rd (inbound)",,information,2022-06-19T04:30,further notice,,,,,,2022-05-02T17:49:01.723,further notice,"Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd will close in both directions, effective June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.",,,,,False,,True,False,False,,,"Affected routes:
62
76",nicholas.tomkavage,2022-05-02T17:49:04.490,False,,current,,False,True,,
441823,2,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:49:01.723,2022-08-20T02:30,"Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd will close in both directions, effective June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
62
76",eryk.rotondo,2022-05-16T05:18:45.303,False,,current,,False,True,,
441823,3,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:49:01.723,2022-08-20T02:30,"Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd will close in both directions, effective June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
62
76",autotimeframeupdate,2022-06-13T04:30:17.673,False,,current,,False,True,,
441823,4,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:49:01.723,2022-08-20T02:30,"Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd will close in both directions, effective June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
62
76",autotimeframeupdate,2022-06-18T04:30:17.560,False,,current,,False,True,,
441823,5,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:49:01.723,2022-08-20T02:30,"Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd will close in both directions, effective June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.",,,,,False,,False,False,False,,,"Affected routes:
62
76",autotimeframeupdate,2022-06-19T04:00:17.303,False,,current,,False,True,,
441823,6,One-time,,Bus,Stop Closure,"62, 76; Springs Rd @ Pine Hill Rd",,information,2022-06-19T04:30,2022-08-20T02:30,,,,,,2022-05-02T17:49:01.723,2022-08-20T02:30,Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd closed in both directions on June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.,,,,,False,,False,False,False,,,"Affected routes:
62
76",eryk.rotondo,2022-06-26T07:18:11.413,False,,current,,False,True,,
441823,7,One-time,,Bus,Stop Closure,,,information,2022-06-19T04:30,2022-06-28T14:24:16.147,,,,,,2022-05-02T17:49:01.723,2022-06-28T14:24:16.147,Route 62 & 76 Stop Closure: Springs Rd @ Pine Hill Rd closed in both directions on June 19. Riders may use inbound stops at Springs Rd @ Bldg 70 or Hillside Drive and outbound stops at Hillside Drive or Springs Rd opp Bldg 23 as alternatives.,,,,,False,,False,False,False,,,"Affected routes:
62
76",nicholas.tomkavage,2022-06-28T14:24:16.147,True,,past,,False,True,,
