Alert ID,Version No.,Time Type,Image URL,Mode,Effect,Affecting,Cause,Severity,Effect Start,Effect End,Recurrence Start,Recurrence End,Recurrence Start Time,Recurrence End Time,Recurrence Days,Notification From,Notification Until,Header,Note Text,Note Last Modified,Note Last Modified By,Accessibility Information,Send via PA/ESS,PA/ESS,T-Alert Sent to Subscribers,Send to Twitter,Set as Website Banner,Website Banner Text,URL,Additional Information,Last Modified By,Last Modified Date,Closed,Reminders,PCF,Planned Disruption,Send T-Alert on close,Send T-Alert on edit,Text-To-Speech Message Text,Text-To-Speech Description Text
331699,1,One-time,,Bus,Stop Move,"450, 451, 455, 456, 465; Washington St @ Church St",,information,2019-09-23T04:30,further notice,,,,,,2019-09-10T16:38:57.613,further notice,"Beginning on Monday, September 23, 2019, the bus stop at Washington St @ Church St will shift to the front of Salem Five Bank.",,,,,False,,True,False,False,,,"This bus stop shift is expected to last for about 24 months because of construction.

Affected routes:
450
451
455
456
465",john.semerjian,2019-09-10T16:39:42.557,False,2019-09-20T08:00 send bulletin,current,,False,True,,
331699,2,One-time,,Bus,Stop Move,"450, 451, 455, 456, 465; Washington St @ Church St",,information,2019-10-07T04:30,further notice,,,,,,2019-09-10T16:38:57.613,further notice,"Beginning on Monday, October 7, 2019, the bus stop at Washington St @ Church St will shift to the front of Salem Five Bank.",,,,,False,,True,False,False,,,"This bus stop shift is expected to last for about 24 months because of construction.

Affected routes:
450
451
455
456
465",eryk.rotondo,2019-09-26T10:22:20.853,False,,current,,False,True,,
331699,3,One-time,,Bus,Stop Move,,,information,2019-10-07T04:30,2020-08-09T06:30:47.800,,,,,,2019-09-10T16:38:57.613,2020-08-09T06:30:47.800,"Beginning on Monday, October 7, 2019, the bus stop at Washington St @ Church St will shift to the front of Salem Five Bank.",,,,,False,,False,False,False,,,"This bus stop shift is expected to last for about 24 months because of construction.

Affected routes:
450
451
455
456
465",nicholas.tomkavage,2020-08-09T06:30:47.800,True,,past,,False,True,,
347552,1,One-time,,Bus,Stop Move,64; Hobart St @ Brooks St,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:25:25.600,further notice,"Starting December 22, 2019 Hobart St @ Brooks St serving the 64 is moving to Brooks St @ Gerrish St",,,,,False,,True,False,False,,,Learn more at MBTA.com/betterbus,john.semerjian,2019-12-06T16:25:26.973,False,,current,,False,True,,
347552,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.487,,,,,,2019-12-06T16:25:25.600,2020-01-06T20:53:40.487,"Starting December 22, 2019 Hobart St @ Brooks St serving the 64 is moving to Brooks St @ Gerrish St",,,,,False,,False,False,False,,,Learn more at MBTA.com/betterbus,john.semerjian,2020-01-06T20:53:40.487,True,,past,,False,True,,
347553,1,One-time,,Bus,Stop Move,52; Dedham St opp Meadowbrook Rd,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:28:41.987,further notice,"Starting December 22, 2019, Dedham St opp Meadowbrook Rd serving the 52 is moving to the other side of Meadowbrook Rd.",,,,,False,,True,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2019-12-06T16:28:46.040,False,,current,,False,True,,
347553,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.457,,,,,,2019-12-06T16:28:41.987,2020-01-06T20:53:40.457,"Starting December 22, 2019, Dedham St opp Meadowbrook Rd serving the 52 is moving to the other side of Meadowbrook Rd.",,,,,False,,False,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2020-01-06T20:53:40.457,True,,past,,False,True,,
347554,1,One-time,,Bus,Stop Move,52; Dedham St @ Meadowbrook Rd,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:30:00.170,further notice,"Starting December 22, 2019, Dedham St @ Meadowbrook Rd serving the 52 will be moved to the other side of Meadowbrook Rd.",,,,,False,,True,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2019-12-06T16:30:00.820,False,,current,,False,True,,
347554,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.410,,,,,,2019-12-06T16:30:00.170,2020-01-06T20:53:40.410,"Starting December 22, 2019, Dedham St @ Meadowbrook Rd serving the 52 will be moved to the other side of Meadowbrook Rd.",,,,,False,,False,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2020-01-06T20:53:40.410,True,,past,,False,True,,
347555,1,One-time,,Bus,Stop Move,52; Parker St opp Wheeler Rd,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:31:27.083,further notice,"Starting December 22, 2019, Parker St opp Wheeler Rd serving the 52 will be moving to Parker St @ Howley Ave.",,,,,False,,True,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2019-12-06T16:31:27.650,False,,current,,False,True,,
347555,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.363,,,,,,2019-12-06T16:31:27.083,2020-01-06T20:53:40.363,"Starting December 22, 2019, Parker St opp Wheeler Rd serving the 52 will be moving to Parker St @ Howley Ave.",,,,,False,,False,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
52",john.semerjian,2020-01-06T20:53:40.363,True,,past,,False,True,,
347557,1,One-time,,Bus,Stop Move,64; Faneuil St @ Brooks St,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:34:34.587,further notice,"Starting December 22, 2019, Faneuil St @ Brooks St serving the 64 will move to the opposite side of Brooks St.",,,,,False,,True,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
64",john.semerjian,2019-12-06T16:34:36.993,False,,current,,False,True,,
347557,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.330,,,,,,2019-12-06T16:34:34.587,2020-01-06T20:53:40.330,"Starting December 22, 2019, Faneuil St @ Brooks St serving the 64 will move to the opposite side of Brooks St.",,,,,False,,False,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
64",john.semerjian,2020-01-06T20:53:40.330,True,,past,,False,True,,
347558,1,One-time,,Bus,Stop Move,64; Faneuil St @ Fairbanks St,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:35:56.670,further notice,"Starting December 22, 2019, Faneuil St @ Fairbanks St serving the 64 will move to Brooks St @ Faneuil St.",,,,,False,,True,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
64",john.semerjian,2019-12-06T16:35:57.290,False,,current,,False,True,,
347558,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.283,,,,,,2019-12-06T16:35:56.670,2020-01-06T20:53:40.283,"Starting December 22, 2019, Faneuil St @ Fairbanks St serving the 64 will move to Brooks St @ Faneuil St.",,,,,False,,False,False,False,,,"Learn more at MBTA.com/betterbus

Affected routes:
64",john.semerjian,2020-01-06T20:53:40.283,True,,past,,False,True,,
347559,1,One-time,,Bus,Stop Move,64; Hobart St @ Brooks St,,information,2019-12-22T04:30,further notice,,,,,,2019-12-06T16:41:29.760,further notice,"Starting December 22, 2019, Hobart St @ Brooks St serving the 64 is moving to Brooks St.",,,,,False,,True,False,False,,,"Affected routes:
64",john.semerjian,2019-12-06T16:41:30.653,False,,current,,False,True,,
347559,2,One-time,,Bus,Stop Move,,,information,2019-12-22T04:30,2020-01-06T20:53:40.237,,,,,,2019-12-06T16:41:29.760,2020-01-06T20:53:40.237,"Starting December 22, 2019, Hobart St @ Brooks St serving the 64 is moving to Brooks St.",,,,,False,,False,False,False,,,"Affected routes:
64",john.semerjian,2020-01-06T20:53:40.237,True,,past,,False,True,,
352897,1,One-time,,Bus,Stop Move,"57, 57A; Brighton Ave @ Linden St (outbound)",,information,2020-01-14T04:30,further notice,,,,,,2020-01-13T19:11:40.417,further notice,"Due to building demolition and ongoing construction at 89 Brighton Ave, Stop 962, Brighton Ave @ Linden St (outbound) is moving to the far side of Linden Street; to the front of 101-111 Brighton Avenue.",,,,,False,,True,False,False,,,"Affected routes:
57
57A",christopher.delano,2020-01-13T19:11:52.803,False,,current,,False,True,,
352897,2,One-time,,Bus,Stop Move,,,information,2020-01-14T04:30,2021-03-05T06:41:05.533,,,,,,2020-01-13T19:11:40.417,2021-03-05T06:41:05.533,"Due to building demolition and ongoing construction at 89 Brighton Ave, Stop 962, Brighton Ave @ Linden St (outbound) is moving to the far side of Linden Street; to the front of 101-111 Brighton Avenue.",,,,,False,,False,False,False,,,"Affected routes:
57
57A",eryk.rotondo,2021-03-05T06:41:05.533,True,,past,,False,True,,
352991,1,One-time,,Bus,Stop Move,87; Broadway @ Massachusetts Ave (inbound),,information,2020-01-15T04:30,further notice,,,,,,2020-01-14T16:34:16.453,further notice,Effective 1/15/2020 bus stop on Broadway @ Mass. Ave in Arlington Ctr will become pick up only for Rte 87 (Lechemre). Rte 87  (Arlington Ctr) will terminate at Broadway @ Franklin St. Broadway @ Franklin St will be the first stop for Route 87 (Lechmere).,,,,,False,,True,False,False,,,"Affected routes:
87",christopher.delano,2020-01-14T16:34:39.643,False,,current,,False,True,,
352991,2,One-time,,Bus,Stop Move,,,information,2020-01-15T04:30,2020-12-23T06:26:24.510,,,,,,2020-01-14T16:34:16.453,2020-12-23T06:26:24.510,Effective 1/15/2020 bus stop on Broadway @ Mass. Ave in Arlington Ctr will become pick up only for Rte 87 (Lechemre). Rte 87  (Arlington Ctr) will terminate at Broadway @ Franklin St. Broadway @ Franklin St will be the first stop for Route 87 (Lechmere).,,,,,False,,False,False,False,,,"Affected routes:
87",eryk.rotondo,2020-12-23T06:26:24.510,True,,past,,False,True,,
354148,1,Recurring,,Bus,Stop Move,"9, 11, 47; Broadway Station - Red Line",construction,information,2020-01-25T07:00,2020-01-25T16:00,2020-01-25T04:30,2020-02-17T02:30,07:00:00,16:00:00,"Saturday, Sunday",2020-01-24T09:37:39.457,2020-02-16T16:00,The Broadway Station bus stop will be moving to Dorchester Ave between Silver St & W 4th St every Saturday and Sunday from 7 AM  to 4 PM until February 16.,,,,,False,,True,False,False,,,"Affected routes:
9
11
47",eryk.rotondo,2020-01-24T09:38:26.100,False,,current,,False,True,,
354148,2,Recurring,,Bus,Stop Move,,construction,information,2020-02-16T07:00,2020-02-16T16:00,2020-01-25T04:30,2020-02-16T16:00:15.777,07:00:00,16:00:00,"Saturday, Sunday",2020-01-24T09:37:39.457,2020-02-16T16:00,The Broadway Station bus stop will be moving to Dorchester Ave between Silver St & W 4th St every Saturday and Sunday from 7 AM  to 4 PM until February 16.,,,,,False,,False,False,False,,,"Affected routes:
9
11
47",expiry,2020-02-16T16:00:15.777,True,,past,,False,True,,
355971,1,One-time,,Bus,Stop Move,"210, 211, 212, 214, 215, 216, 217, 220, 221, 222, 225, 230, 236, 238, 245; Quincy Center",accident,information,2020-02-08T13:24:25.693,later today,,,,,,2020-02-08T13:24:25.697,2020-02-09T02:30,All buses servicing Quincy Center will temporarily pick up and drop off on Hancock Street due to an accident in the Quincy Center bus way.,,,,,False,,True,False,False,,,"Affected routes:
210
211
212
214
215
216
217
220
221
222
225
230
236
238
245

Affected stops:
Quincy Center
Quincy Center
Quincy Center
Quincy Center
Quincy Center",christopher.delano,2020-02-08T13:24:38.750,False,,current,,False,True,,
355971,2,One-time,,Bus,Stop Move,"210, 211, 212, 214, 216, 215, 217, 220, 221, 222, 225, 230, 236, 238, 245; Quincy Center",accident,information,2020-02-08T13:24:25.693,later today,,,,,,2020-02-08T13:24:25.697,2020-02-09T02:30,All buses servicing Quincy Center will temporarily pick up and drop off on Burgin Pkwy due to an accident on Hancock Street.,,,,,False,,True,False,False,,,"Affected routes:
210
211
212
214
215
216
217
220
221
222
225
230
236
238
245

Affected stops:
Quincy Center
Quincy Center
Quincy Center
Quincy Center
Quincy Center",christopher.delano,2020-02-08T13:37:55.003,False,,current,,False,True,,
355971,3,One-time,,Bus,Stop Move,,accident,information,2020-02-08T13:24:25.693,2020-02-08T17:23:21.313,,,,,,2020-02-08T13:24:25.697,2020-02-08T17:23:21.313,All buses servicing Quincy Center will temporarily pick up and drop off on Burgin Pkwy due to an accident on Hancock Street.,,,,,False,,False,False,False,,,"Affected routes:
210
211
212
214
215
216
217
220
221
222
225
230
236
238
245

Affected stops:
Quincy Center
Quincy Center
Quincy Center
Quincy Center
Quincy Center",michael.kelly,2020-02-08T17:23:21.313,True,,past,,False,True,,
357570,1,One-time,,Bus,Stop Move,"28; Ruggles (inbound), Ruggles (outbound)",,information,2020-02-24T04:30,further notice,,,,,,2020-02-22T21:25:11.163,further notice,Route 28 will board and drop off in the Ruggles outer busway until further notice because of construction.,,,,,False,,True,False,False,,,,nicholas.tomkavage,2020-02-22T21:25:21.423,False,,current,,False,True,,
357570,2,One-time,,Bus,Stop Move,,,information,2020-02-24T04:30,2020-10-23T10:13:30.513,,,,,,2020-02-22T21:25:11.163,2020-10-23T10:13:30.513,Route 28 will board and drop off in the Ruggles outer busway until further notice because of construction.,,,,,False,,True,False,False,,,,eryk.rotondo,2020-10-23T10:13:30.513,True,,past,,False,True,,
358276,1,One-time,,Bus,Stop Move,"4, 7, 11; Summer St @ South Station - Red Line entrance",construction,information,2020-03-02T04:30,further notice,,,,,,2020-02-28T07:51:25.603,2020-03-10T02:30,"Beginning Monday, March 2, the stop at Summer St @ South Station will be shifting towards Atlantic Avenue due to construction.",,,,,False,,True,False,False,,,"Affected routes:
4
7
11",eryk.rotondo,2020-02-28T07:51:33.713,False,,current,,False,True,,
